nombre,poblacion,superficie,continente
China,1425671352,9596960,Asia
India,1428627663,3287263,Asia
Estados Unidos,339996563,9833517,America
Indonesia,277534122,1904569,Asia
Pakistan,240485658,881912,Asia
Brasil,216422446,8515767,America
Nigeria,223804632,923768,Africa
Bangladesh,172954319,148460,Asia
Rusia,144444359,17098242,Europa
Mexico,128455567,1964375,America
Japon,123294513,377975,Asia
Etiopia,126527060,1104300,Africa
Filipinas,117337368,300000,Asia
Egipto,112716598,1002450,Africa
Vietnam,98858950,331210,Asia
Republica Democratica del Congo,102262808,2344858,Africa
Turquia,85326000,783562,Asia
Iran,89172767,1648195,Asia
Alemania,83294633,357022,Europa
Tailandia,71801279,513120,Asia
Reino Unido,67736802,242495,Europa
Francia,68070697,551695,Europa
Italia,58870762,301340,Europa
Tanzania,67438106,945087,Africa
Sudafrica,60414495,1221037,Africa
Kenia,55100586,580367,Africa
Colombia,52085168,1141748,America
Corea del Sur,51784059,100210,Asia
Espana,47519628,505990,Europa
Argentina,46234830,2780400,America
Argelia,45606480,2381741,Africa
Irak,45504560,438317,Asia
Canada,40097761,9984670,America
Polonia,36822000,312696,Europa
Marruecos,37840044,446550,Africa

